dataset	method	epsilon	time	pairs
cell121	PSI	14	0.010779810666666667	0
cell121	PSI	16	0.010919854000000001	0
cell121	PSI	18	0.010791130666666668	0
cell121	PSI	20	0.010959969	0
cell122	BFE	10	0.05835414	4
cell122	BFE	12	0.06157076933333333	9
cell122	BFE	14	0.067395674	23
cell122	BFE	16	0.07978096999999999	31
cell122	BFE	18	0.08511704166666667	35
cell122	BFE	20	0.09115011933333333	47
cell122	PSI	10	0.029561553	4
cell122	PSI	12	0.024732733666666666	9
cell122	PSI	14	0.030210626	23
cell122	PSI	16	0.037597225	31
cell122	PSI	18	0.040560868	35
cell122	PSI	20	0.04119734233333333	47
cell123	BFE	10	0.025080977	0
cell123	BFE	12	0.024695862	0
cell123	BFE	14	0.025096528666666666	0
cell123	BFE	16	0.025227022666666668	0
cell123	BFE	18	0.027279495333333334	0
cell123	BFE	20	0.025869347	0
cell123	PSI	10	0.006035051333333334	0
cell123	PSI	12	0.006047189666666667	0
cell123	PSI	14	0.006501768999999999	0
cell123	PSI	16	0.0066004566666666665	0
cell123	PSI	18	0.007830567666666666	0
cell123	PSI	20	0.008535260333333333	0
cell124	BFE	10	0.024620276666666666	0
cell124	BFE	12	0.021758662	0
cell124	BFE	14	0.022115611	0
cell124	BFE	16	0.022908186666666667	0
cell124	BFE	18	0.021530523333333332	0
cell124	BFE	20	0.020773219	0
cell124	PSI	10	0.005825220666666667	0
cell124	PSI	12	0.004281896666666667	0
cell124	PSI	14	0.004698069	0
cell124	PSI	16	0.0044705203333333336	0
cell124	PSI	18	0.004686067	0
cell124	PSI	20	0.004469458666666667	0
cell125	BFE	10	0.06313797533333333	5
cell125	BFE	12	0.06406289033333334	8
cell125	BFE	14	0.07978057133333334	13
cell125	BFE	16	0.07924173766666666	13
cell125	BFE	18	0.086694935	21
cell125	BFE	20	0.086129981	25
cell125	PSI	10	0.029105061666666668	5
cell125	PSI	12	0.032475697000000005	8
cell125	PSI	14	0.03256860366666667	13
cell125	PSI	16	0.034894632333333335	13
cell125	PSI	18	0.034965255	21
cell125	PSI	20	0.03635445166666667	25
cell126	BFE	10	0.05208143166666667	6
cell126	BFE	12	0.053485522	6
cell126	BFE	14	0.04705696066666667	6
cell126	BFE	16	0.04623667066666667	6
cell126	BFE	18	0.047312675666666665	6
cell126	BFE	20	0.046305728000000004	8
cell126	PSI	10	0.021803831666666666	6
cell126	PSI	12	0.020230914000000003	6
cell126	PSI	14	0.018442668333333332	6
cell126	PSI	16	0.015717806	6
cell126	PSI	18	0.01645899	6
cell126	PSI	20	0.018811706333333334	8
cell127	BFE	10	0.05237383066666667	5
cell127	BFE	12	0.06955329933333333	11
cell127	BFE	14	0.05801792066666667	20
cell127	BFE	16	0.06236597866666667	24
cell127	BFE	18	0.066100043	29
cell127	BFE	20	0.07988172199999999	35
cell127	PSI	10	0.026914219	5
cell127	PSI	12	0.020437212	11
cell127	PSI	14	0.031283509	20
cell127	PSI	16	0.025852085333333334	24
cell127	PSI	18	0.030896642333333335	29
cell127	PSI	20	0.03200772733333333	35
cell128	BFE	10	0.062233584666666675	3
cell128	BFE	12	0.06025486966666666	3
cell128	BFE	14	0.06178390766666667	3
cell128	BFE	16	0.07376985633333333	9
cell128	BFE	18	0.07516799766666667	9
cell128	BFE	20	0.071072372	12
cell128	PSI	10	0.025871055666666667	3
cell128	PSI	12	0.027557711666666665	3
cell128	PSI	14	0.02774600933333333	3
cell128	PSI	16	0.030010449666666668	9
cell128	PSI	18	0.02935596	9
cell128	PSI	20	0.028240863333333335	12
cell129	BFE	10	0.032389298	0
cell129	BFE	12	0.03330071166666667	0
cell129	BFE	14	0.038509457999999996	0
cell129	BFE	16	0.032833461	0
cell129	BFE	18	0.049766123999999995	3
cell129	BFE	20	0.047350292999999995	3
cell129	PSI	10	0.011763912666666666	0
cell129	PSI	12	0.010809328666666668	0
cell129	PSI	14	0.012375693666666666	0
cell129	PSI	16	0.011896537666666665	0
cell129	PSI	18	0.014580233333333333	3
cell129	PSI	20	0.015960867	3
cell13	BFE	10	0.023929071333333333	0
cell13	BFE	12	0.023938517666666666	0
cell13	BFE	14	0.023777368666666666	0
cell13	BFE	16	0.025119656	0
cell13	BFE	18	0.0251271	0
cell13	BFE	20	0.024382965333333333	0
cell13	PSI	10	0.005126214666666668	0
cell13	PSI	12	0.005424966666666667	0
cell13	PSI	14	0.005334144666666666	0
cell13	PSI	16	0.0061034389999999996	0
cell13	PSI	18	0.006443486666666666	0
cell13	PSI	20	0.006368790666666667	0
cell130	BFE	10	0.03861823833333333	0
cell130	BFE	12	0.038542053	0
cell130	BFE	14	0.039304161	0
cell130	BFE	16	0.04536113233333334	0
cell130	BFE	18	0.04261646933333333	0
cell130	BFE	20	0.055725142	3
cell130	PSI	10	0.015138539666666666	0
cell130	PSI	12	0.015634275	0
cell130	PSI	14	0.015273324666666666	0
cell130	PSI	16	0.016075746	0
cell130	PSI	18	0.020668427	0
cell130	PSI	20	0.029866672666666667	3
cell131	BFE	10	0.034539158	0
cell131	BFE	12	0.048710838	3
cell131	BFE	14	0.04866587833333333	3
cell131	BFE	16	0.050383576666666666	6
cell131	BFE	18	0.051221083333333334	6
cell131	BFE	20	0.051469376666666664	6
cell131	PSI	10	0.011601665666666667	0
cell131	PSI	12	0.013051992666666666	3
cell131	PSI	14	0.015306471333333333	3
cell131	PSI	16	0.027025123666666668	6
cell131	PSI	18	0.025670174	6
cell131	PSI	20	0.018731552	6
cell132	BFE	10	0.02889928866666667	0
cell132	BFE	12	0.03282849633333333	0
cell132	BFE	14	0.029997194666666668	0
cell132	BFE	16	0.029358158333333335	0
cell132	BFE	18	0.03892582966666667	0
cell132	BFE	20	0.027638104	0
cell132	PSI	10	0.008660964	0
cell132	PSI	12	0.009652787666666666	0
cell132	PSI	14	0.011755138333333333	0
cell132	PSI	16	0.010270216	0
cell132	PSI	18	0.011733958	0
cell132	PSI	20	0.008600234	0
cell133	BFE	10	0.03683189233333333	0
cell133	BFE	12	0.03733152333333333	0
cell133	BFE	14	0.03473186466666667	0
cell133	BFE	16	0.051116294	3
cell133	BFE	18	0.053092855333333334	3
cell133	BFE	20	0.049191096	3
cell133	PSI	10	0.012563743333333332	0
cell133	PSI	12	0.012806948333333333	0
cell133	PSI	14	0.012550685	0
cell133	PSI	16	0.024433449333333333	3
cell133	PSI	18	0.03292015733333333	3
cell133	PSI	20	0.025004072333333332	3
cell134	BFE	10	0.060947516333333326	3
cell134	BFE	12	0.06897181966666667	5
cell134	BFE	14	0.09461330366666668	15
cell134	BFE	16	0.09559203699999999	33
cell134	BFE	18	0.10590788933333334	42
cell134	BFE	20	0.09933693866666665	51
cell134	PSI	10	0.03258477133333333	3
cell134	PSI	12	0.025142535333333334	5
cell134	PSI	14	0.036906165	15
cell134	PSI	16	0.03861192333333333	33
cell134	PSI	18	0.045161705	42
cell134	PSI	20	0.044843881333333335	51
cell135	BFE	10	0.02893530033333333	0
cell135	BFE	12	0.03364102866666666	0
cell135	BFE	14	0.02882275533333333	0
cell135	BFE	16	0.02857261733333333	0
cell135	BFE	18	0.030632364000000002	0
cell135	BFE	20	0.029666075333333333	0
cell135	PSI	10	0.008918488666666667	0
cell135	PSI	12	0.009241092666666666	0
cell135	PSI	14	0.008907431333333334	0
cell135	PSI	16	0.008623430000000001	0
cell135	PSI	18	0.01198219	0
cell135	PSI	20	0.010231572333333333	0
cell136	BFE	10	0.062409573999999995	6
cell136	BFE	12	0.06377853133333333	6
cell136	BFE	14	0.06647319033333333	12
cell136	BFE	16	0.06696099066666666	12
cell136	BFE	18	0.06803719266666666	13
cell136	BFE	20	0.07618015333333332	15
cell136	PSI	10	0.026845110666666668	6
cell136	PSI	12	0.029236305333333334	6
cell136	PSI	14	0.028621925333333333	12
cell136	PSI	16	0.028461163666666667	12
cell136	PSI	18	0.030686413000000003	13
cell136	PSI	20	0.030585212999999997	15
cell137	BFE	10	0.06377263933333333	9
cell137	BFE	12	0.081719338	19
cell137	BFE	14	0.08905865366666667	29
cell137	BFE	16	0.08942543066666667	38
cell137	BFE	18	0.100832878	58
cell137	BFE	20	0.10302296566666667	67
cell137	PSI	10	0.029742431333333333	9
cell137	PSI	12	0.030668237333333334	19
cell137	PSI	14	0.039277000666666666	29
cell137	PSI	16	0.051202558333333335	38
cell137	PSI	18	0.047465794666666665	58
cell137	PSI	20	0.04531945533333333	67
cell138	BFE	10	0.03354168466666667	0
cell138	BFE	12	0.03346389266666667	0
cell138	BFE	14	0.03377025266666667	0
cell138	BFE	16	0.03510334833333333	0
cell138	BFE	18	0.034732983	0
cell138	BFE	20	0.03440868166666667	0
cell138	PSI	10	0.011185909666666667	0
cell138	PSI	12	0.010867521333333333	0
cell138	PSI	14	0.010933709	0
cell138	PSI	16	0.012099973	0
cell138	PSI	18	0.012365492666666665	0
cell138	PSI	20	0.012940811333333333	0
cell139	BFE	10	0.078114159	22
cell139	BFE	12	0.09161025733333333	37
cell139	BFE	14	0.09646814799999999	47
cell139	BFE	16	0.10242897233333334	58
cell139	BFE	18	0.112248594	68
cell139	BFE	20	0.118448415	87
cell139	PSI	10	0.034353498333333336	22
cell139	PSI	12	0.04258176066666666	37
cell139	PSI	14	0.046622707666666666	47
cell139	PSI	16	0.04779374866666667	58
cell139	PSI	18	0.05203170333333333	68
cell139	PSI	20	0.05709149166666666	87
cell14	BFE	10	0.027614243666666666	0
cell14	BFE	12	0.027497581666666666	0
cell14	BFE	14	0.028246892666666665	0
cell14	BFE	16	0.027635965000000002	0
cell14	BFE	18	0.027812174000000002	0
cell14	BFE	20	0.043544332	3
cell14	PSI	10	0.008007446333333333	0
cell14	PSI	12	0.007851768	0
cell14	PSI	14	0.007977090666666667	0
cell14	PSI	16	0.0076592936666666665	0
cell14	PSI	18	0.009341136	0
cell14	PSI	20	0.020664032666666665	3
cell140	BFE	10	0.08675663966666666	41
cell140	BFE	12	0.10467155766666666	70
cell140	BFE	14	0.11672875933333333	99
cell140	BFE	16	0.13390640633333334	137
cell140	BFE	18	0.14844807133333332	172
cell140	BFE	20	0.169171957	209
cell140	PSI	10	0.03958285833333333	41
cell140	PSI	12	0.048471906999999995	70
cell140	PSI	14	0.05327573066666667	99
cell140	PSI	16	0.06266050433333333	137
cell140	PSI	18	0.07290800966666666	172
cell140	PSI	20	0.074219046	209
cell141	BFE	10	0.019126460666666668	0
cell141	BFE	12	0.019318942333333335	0
cell141	BFE	14	0.018991092666666667	0
cell141	BFE	16	0.01973392733333333	0
cell141	BFE	18	0.019111042666666668	0
cell141	BFE	20	0.018756502	0
cell141	PSI	10	0.003056844	0
cell141	PSI	12	0.003047536	0
cell141	PSI	14	0.0031077893333333333	0
cell141	PSI	16	0.0031382466666666667	0
cell141	PSI	18	0.0029775783333333334	0
cell141	PSI	20	0.0031038036666666668	0
cell142	BFE	10	0.06356873433333333	13
cell142	BFE	12	0.07633885866666666	24
cell142	BFE	14	0.08641990566666667	36
cell142	BFE	16	0.084295856	40
cell142	BFE	18	0.09803165866666667	60
cell142	BFE	20	0.10241898366666669	72
cell142	PSI	10	0.026847617666666664	13
cell142	PSI	12	0.03130041333333333	24
cell142	PSI	14	0.03635613966666667	36
cell142	PSI	16	0.042484274	40
cell142	PSI	18	0.045021098999999995	60
cell142	PSI	20	0.050096284666666664	72
cell143	BFE	10	0.02853878333333333	0
cell143	BFE	12	0.029589376	0
cell143	BFE	14	0.029398258333333333	0
cell143	BFE	16	0.029680532	0
cell143	BFE	18	0.029685661333333335	0
cell143	BFE	20	0.044640056	3
cell143	PSI	10	0.008664285333333334	0
cell143	PSI	12	0.010937863333333332	0
cell143	PSI	14	0.009969216666666666	0
cell143	PSI	16	0.010025887	0
cell143	PSI	18	0.010009713333333333	0
cell143	PSI	20	0.01978796	3
cell144	BFE	10	0.019975672666666666	0
cell144	BFE	12	0.019662131666666666	0
cell144	BFE	14	0.019317378333333333	0
cell144	BFE	16	0.01943330533333333	0
cell144	BFE	18	0.019929741	0
cell144	BFE	20	0.019067617000000002	0
cell144	PSI	10	0.0031079806666666665	0
cell144	PSI	12	0.003115820333333333	0
cell144	PSI	14	0.0031651690000000002	0
cell144	PSI	16	0.0032118586666666665	0
cell144	PSI	18	0.003030305	0
cell144	PSI	20	0.0031688516666666666	0
cell145	BFE	10	0.020953743666666667	0
cell145	BFE	12	0.021262407666666667	0
cell145	BFE	14	0.021241725	0
cell145	BFE	16	0.021498566	0
cell145	BFE	18	0.021199673	0
cell145	BFE	20	0.020366983	0
cell145	PSI	10	0.003822945	0
cell145	PSI	12	0.003959976	0
cell145	PSI	14	0.0038429693333333335	0
cell145	PSI	16	0.0038478366666666666	0
cell145	PSI	18	0.004390736	0
cell145	PSI	20	0.0037980093333333334	0
cell146	BFE	10	0.068048525	12
cell146	BFE	12	0.080229416	23
cell146	BFE	14	0.083520242	27
cell146	BFE	16	0.09237596966666667	33
cell146	BFE	18	0.09297706533333333	41
cell146	BFE	20	0.10275218666666666	64
cell146	PSI	10	0.028610709666666668	12
cell146	PSI	12	0.03619027266666667	23
cell146	PSI	14	0.03732525366666667	27
cell146	PSI	16	0.04087970133333333	33
cell146	PSI	18	0.042133882	41
cell146	PSI	20	0.04696221666666667	64
cell147	BFE	10	0.047120715	6
cell147	BFE	12	0.046541725666666665	6
cell147	BFE	14	0.047444790333333334	6
cell147	BFE	16	0.04696529666666667	6
cell147	BFE	18	0.05061274833333333	11
cell147	BFE	20	0.047710178	11
cell147	PSI	10	0.015674467	6
cell147	PSI	12	0.015441012333333334	6
cell147	PSI	14	0.017823154333333334	6
cell147	PSI	16	0.016211387666666667	6
cell147	PSI	18	0.01809617833333333	11
cell147	PSI	20	0.017998671	11
cell148	BFE	10	0.031616774	0
cell148	BFE	12	0.050161941333333335	3
cell148	BFE	14	0.05125308866666667	5
cell148	BFE	16	0.05142517433333333	5
cell148	BFE	18	0.054044479	11
cell148	BFE	20	0.05276080666666667	11
cell148	PSI	10	0.013055625999999999	0
cell148	PSI	12	0.013981726666666666	3
cell148	PSI	14	0.025514010333333333	5
cell148	PSI	16	0.02883176833333333	5
cell148	PSI	18	0.028988027666666662	11
cell148	PSI	20	0.028723219333333334	11
cell149	BFE	10	0.02969786	0
cell149	BFE	12	0.029494264	0
cell149	BFE	14	0.030056647333333332	0
cell149	BFE	16	0.029598505666666667	0
cell149	BFE	18	0.046774772666666665	3
cell149	BFE	20	0.04673757533333334	6
cell149	PSI	10	0.010216557333333334	0
cell149	PSI	12	0.008758082	0
cell149	PSI	14	0.010032926000000001	0
cell149	PSI	16	0.010323065666666666	0
cell149	PSI	18	0.015885101333333335	3
cell149	PSI	20	0.023749960333333334	6
cell15	BFE	10	0.05976446133333334	10
cell15	BFE	12	0.065018045	20
cell15	BFE	14	0.08140001666666667	28
